progression_zone,p90
1,2.4001104731415848
2,2.66897563862688
3,2.391626459809489
4,10.44969020579366
5,12.690054046516341
6,9.78231686019184
7,14.766971958093382
8,11.806682952172153
9,12.665004093981683
10,5.638882944725174
11,4.587691642307247
12,6.338326024675546
