prog_passes_p90,prog_carries_p90,passes_final_third_p90,carries_final_third_p90,deep_progressions_p90,passes_into_box_p90,key_passes_p90,shot_assists_p90,shot_creating_actions_p90,tackles_p90,interceptions_p90,tackles_interceptions_p90,pressures_p90,recoveries_p90,recoveries_defensive_third_p90,deep_receptions_p90,total_passes,pass_completion_%,player,team,total_minutes
24.39473684210526,8.289473684210526,8.052631578947368,0.9473684210526315,9.0,2.8421052631578947,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.0,0.7105263157894737,0.7105263157894737,10.421052631578947,7.578947368421052,1.657894736842105,4.263157894736842,219.0,78.08219178082192,Aaron Mooy,Australia,380.0
15.281791907514455,10.72976878612717,4.226878612716764,0.6502890173410406,4.877167630057804,2.9263005780346827,0.3251445086705203,0.3251445086705203,0.3251445086705203,0.0,0.3251445086705203,0.3251445086705203,17.557803468208096,4.552023121387284,1.3005780346820812,15.932080924855494,110.0,78.18181818181819,Aaron Ramsey,Wales,276.79999999999995
22.52438663907774,14.01123263375702,5.498078628436299,1.596216375997635,7.094295004433934,2.4830032515518767,0.17735737511084834,0.17735737511084834,0.17735737511084834,0.0,1.7735737511084835,1.7735737511084835,14.898019509311261,4.25657700266036,2.12828850133018,15.784806384865503,285.0,86.31578947368422,Adrien Rabiot,France,507.45000000000005
23.052631578947366,14.842105263157894,4.105263157894736,1.5789473684210527,5.684210526315789,5.368421052631579,1.5789473684210527,1.5789473684210527,1.5789473684210527,0.0,0.0,0.0,7.263157894736842,5.368421052631579,0.9473684210526315,14.210526315789473,166.0,84.93975903614458,Akram Hassan Afif,Qatar,285.0
21.204636139084176,21.546646399391985,2.7360820824624743,2.394071822154665,5.130153904617139,1.3680410412312372,1.1970359110773325,1.1970359110773325,1.1970359110773325,0.0,0.6840205206156186,0.6840205206156186,11.970359110773325,4.959148774463235,1.7100513015390464,22.230666920007604,271.0,89.2988929889299,Alexis Mac Allister,Argentina,526.3
22.640113447191563,13.317713792465627,4.99414267217461,1.9976570688698438,6.991799741044455,1.6647142240582034,0.0,0.0,0.0,0.0,1.9976570688698438,1.9976570688698438,18.977742154263517,3.3294284481164067,1.3317713792465626,11.652999568407424,134.0,85.82089552238806,André-Frank Zambo Anguissa,Cameroon,270.31666666666666
29.446442256676296,14.802806107410245,5.4117785769026705,2.0692094558745504,7.480988032777221,9.709367446795968,2.7058892884513353,2.7058892884513353,2.7058892884513353,0.0,1.750869539586158,1.750869539586158,19.896244768024523,3.9792489536049045,1.1141897070093734,16.235335730708012,323.0,78.94736842105263,Antoine Griezmann,France,565.4333333333334
25.557118130679356,10.95305062743401,7.740155776720034,1.3143660752920812,9.054521852012115,1.4604067503245346,0.8762440501947208,0.8762440501947208,0.8762440501947208,0.0,2.190610125486802,2.190610125486802,9.346603202077022,5.403504976200778,1.606447425356988,7.886196451752487,470.0,91.70212765957447,Aurélien Djani Tchouaméni,France,616.2666666666668
15.789473684210526,7.263157894736842,3.1578947368421053,0.3157894736842105,3.473684210526316,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,0.9473684210526315,0.9473684210526315,13.578947368421051,3.1578947368421053,1.5789473684210527,4.7368421052631575,176.0,96.02272727272727,Axel Witsel,Belgium,285.0
17.10058010817476,12.257937953647394,4.388644452540425,2.421321077263683,6.809965529804108,2.421321077263683,0.9079954039738811,0.9079954039738811,0.9079954039738811,0.0,1.664658240618782,1.664658240618782,13.771263626937197,5.145307289185326,2.7239862119216434,10.441947145699633,267.0,82.77153558052434,Azzedine Ounahi,Morocco,594.7166666666667
32.42371286463234,25.164672671057936,7.017072187121924,5.081328135502083,12.098400322624007,1.9357440516198412,1.2098400322624008,1.2098400322624008,1.2098400322624008,0.0,0.4839360129049603,0.4839360129049603,13.792176367791368,6.291168167764484,1.4518080387148808,19.357440516198412,292.0,88.6986301369863,Bernardo Mota Veiga de Carvalho e Silva,Portugal,371.95000000000005
32.93273542600896,18.403587443946183,7.991031390134528,2.9058295964125556,10.896860986547082,8.95964125560538,1.4529147982062778,1.4529147982062778,1.4529147982062778,0.0,0.24215246636771295,0.24215246636771295,15.013452914798203,3.6322869955156944,1.4529147982062778,23.246636771300444,231.0,80.51948051948052,Bruno Miguel Borges Fernandes,Portugal,371.66666666666674
29.36842105263158,12.552631578947368,8.526315789473683,0.47368421052631576,8.999999999999998,2.6052631578947367,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.0,1.4210526315789473,1.4210526315789473,12.789473684210526,3.552631578947368,1.4210526315789473,14.921052631578947,258.0,84.10852713178295,Carlos Henrique Casimiro,Brazil,380.0
36.315789473684205,21.789473684210524,7.263157894736842,3.1578947368421053,10.421052631578947,11.68421052631579,2.8421052631578947,2.8421052631578947,2.8421052631578947,0.0,0.9473684210526315,0.9473684210526315,10.105263157894736,5.052631578947368,1.5789473684210527,16.421052631578945,231.0,83.54978354978356,Christian Dannemann Eriksen,Denmark,285.0
11.076616032819604,12.573456037254685,1.4968400044350816,0.5987360017740326,2.0955760062091144,2.3949440070961305,1.1974720035480653,1.1974720035480653,1.1974720035480653,0.0,0.0,0.0,6.286728018627342,1.796208005322098,0.0,20.656392061204127,90.0,74.44444444444444,Cristiano Ronaldo dos Santos Aveiro,Portugal,300.6333333333333
