bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,dribble_overrun,foul_committed_offensive,miscontrol_aerial_won,pass_no_touch,50_50,pass_inswinging,pass_straight,ball_recovery_offensive,clearance_other,dribble_no_touch,foul_committed_penalty,foul_won_penalty,goalkeeper_punched_out,shot_follows_dribble,block_save_block,goalkeeper_shot_saved_to_post,shot_saved_to_post,half_start_late_video_start,goalkeeper_shot_saved_off_target,shot_saved_off_target,goalkeeper_success_in_play,shot_redirect,goalkeeper_lost_in_play,x,y,type_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cd941417-631c-46a0-b39a-d85ef49bd419,951,,Won,"[42.9, 72.6]",3869321,21,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Enzo Fernandez,38718.0,Center Defensive Midfield,35,Argentina,779,['25a7878c-1b7e-41ce-92c7-a4aa1cd8db05'],11,,,,,,,,,,,,,,,,,,,Argentina,779,00:21:11.461,Interception,,,,,,,,,,,,,,,,,,,,,,,,,42.9,72.6,Interception
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a6fc50d2-20ab-4a9f-adee-1aad06ca5532,4362,,,"[8.0, 50.3]",3869321,112,,,,,,,,,,,,,,,,,,,,,,,,4,From Free Kick,Enzo Fernandez,38718.0,Right Center Midfield,207,Netherlands,941,['87b93280-c0b2-48d7-af9c-c4606845147e'],14,,,,,,,,,,,,,,,,,,,Argentina,779,00:07:14.779,Block,,,,,,,,,,,,,,,,,,,,,,,,,8.0,50.3,Block
,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,6f45a2ae-a403-49ce-b529-4ff1436f0cfe,1721,,,"[86.7, 7.2]",3869685,50,,True,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Enzo Fernandez,38718.0,Center Defensive Midfield,76,Argentina,779,['f28bb81f-5afc-4316-8dab-0e16d767c2b1'],44,,,,,,,,,,,,,,,,,,,Argentina,779,00:50:44.189,Block,,,,,,,,,,,,,,,,,,,,,,,,,86.7,7.2,Block
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6056cf92-0a4e-4b9e-b7bf-90c401612a36,4180,,,"[38.3, 20.1]",3869685,114,,,,,,,,,,,,,,,,,,,,,,,,4,From Free Kick,Enzo Fernandez,38718.0,Right Center Midfield,236,France,771,['5a42fbbb-ef15-4de7-a1a2-107a6e7ebaf3'],27,,,,,,,,,,,,,,,,,,,Argentina,779,00:09:27.934,Block,,,,,,,,,,,,,,,,,,,,,,,,,38.3,20.1,Block
,,,,,,,,,,,True,,,Success In Play,Tackle,0.0,,,,,,,,,,,,c6286bd5-028c-4630-982e-741e07ea10b7,330,,,"[89.0, 24.1]",3869685,7,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,18,Argentina,779,['849c89a5-dc01-4f18-a486-8748d917bdb8'],27,,,,,,,,,,,,,,,,,,,Argentina,779,00:07:27.325,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,89.0,24.1,Duel
,,,,,,,,,,,True,,,Success In Play,Tackle,0.0,,,,,,,,,,,,bf4f36b4-81ea-4d37-9524-8c4197a5bf30,518,,,"[40.3, 21.1]",3869685,14,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,25,Argentina,779,['cbf8b3a9-d5b3-43f6-a575-910394502eb0'],34,,,,,,,,,,,,,,,,,,,Argentina,779,00:14:34.981,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,40.3,21.1,Duel
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,0528af88-497d-49b2-b463-8e0a9f865e5d,913,,,"[83.9, 74.6]",3869685,30,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Enzo Fernandez,38718.0,Center Defensive Midfield,45,France,771,['d2202882-cbfd-41a0-b806-8b57da43b68c'],27,,,,,,,,,,,,,,,,,,,Argentina,779,00:30:27.025,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,83.9,74.6,Duel
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,ee3b047f-d02f-41da-a472-fff5661db1ef,1960,,,"[65.1, 57.5]",3869685,49,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,92,France,771,['23b5f45d-7557-46df-9be0-7bf98e232b97'],35,,,,,,,,,,,,,,,,,,,Argentina,779,00:04:35.889,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,65.1,57.5,Duel
,,,,,,,,,,,True,,,Lost Out,Tackle,0.0,,,,,,,,,,,,3bbf80df-d22f-43fa-9019-fe253b4b6e60,2013,,,"[2.4, 18.1]",3869685,50,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Enzo Fernandez,38718.0,Center Defensive Midfield,94,Argentina,779,['aebf3121-de4e-4b87-a20a-a2d0b8553b75'],36,,,,,,,,,,,,,,,,,,,Argentina,779,00:05:36.811,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,2.4,18.1,Duel
,,,,,,,,,,,True,,,Won,Tackle,0.0,,,,,,,,,,,,e5669f42-fbf7-4e79-a990-c348a51d73b6,2182,,,"[58.0, 69.7]",3869685,57,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,106,Argentina,779,['1cbb25b0-d48a-4f0b-a294-612b7b822ef2'],24,,,,,,,,,,,,,,,,,,,Argentina,779,00:12:24.495,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,58.0,69.7,Duel
