player,team,similarity_distance,deep_progressions_p90,prog_passes_p90,prog_carries_p90,pass_completion_%,passes_final_third_p90,recoveries_p90,key_passes_p90
Marcelo Brozović,Croatia,0.626385249966858,10.942921182719765,30.673339678835706,14.922165249163315,89.22495274102079,8.29009180509073,5.637262427461697,0.8290091805090731
Rúben Diogo Da Silva Neves,Portugal,1.1655622409686452,10.46955468039988,30.42714328991215,10.142381096637383,91.8918918918919,9.815207512874887,3.9260830051499545,0.9815207512874886
Frenkie de Jong,Netherlands,1.1689052132213635,9.270717836832505,27.03959369076147,13.906076755248757,89.83516483516483,7.146178332558389,4.442218963482242,0.5794198648020316
Thomas Teye Partey,Ghana,1.1699408002342986,12.0,26.842105263157894,9.789473684210526,84.5303867403315,10.105263157894736,4.421052631578947,0.631578947368421
Mateo Kovačić,Croatia,1.1855088624288117,10.959819134724075,26.359058678450307,16.50909464597677,91.22807017543859,8.878840818004313,4.439420409002157,1.2485869900318565
