zone,p90
1,0.4670235180275156
2,0.45486505666986543
3,0.5104483720082299
4,0.6140580764205861
5,0.5738884100826958
6,0.6289167922450899
7,0.6698945797198295
8,0.5573488025058907
9,0.6897294097988046
10,0.49869403203406354
11,0.4702585391039144
12,0.527494599105357
