type,location,progression_zone,reception_zone
Carry,"[46.0, 48.7]",5,5
Carry,"[56.5, 48.2]",5,5
Carry,"[54.6, 44.5]",5,5
Carry,"[71.0, 24.5]",7,7
Carry,"[68.1, 61.9]",9,9
Carry,"[73.0, 54.7]",8,9
Carry,"[62.3, 54.8]",9,9
Carry,"[61.2, 59.2]",9,9
Carry,"[41.3, 24.0]",4,4
Carry,"[39.1, 21.4]",4,4
Carry,"[54.0, 62.2]",6,6
Carry,"[44.6, 63.2]",5,6
Carry,"[37.5, 61.9]",6,6
Carry,"[54.8, 54.8]",6,6
Carry,"[56.0, 24.0]",4,4
Carry,"[52.6, 40.9]",5,5
Carry,"[32.5, 22.2]",5,4
Carry,"[7.3, 29.7]",1,2
Carry,"[76.9, 40.2]",8,8
Carry,"[55.1, 30.0]",5,5
Carry,"[33.6, 18.1]",7,4
Carry,"[75.8, 42.4]",8,8
Carry,"[69.1, 68.7]",9,9
Carry,"[78.8, 45.7]",8,8
Carry,"[33.4, 46.7]",5,5
Carry,"[87.6, 26.6]",11,7
Carry,"[44.3, 38.5]",5,5
Pass,"[40.5, 13.8]",5,4
Pass,"[50.2, 68.4]",6,6
Pass,"[54.6, 63.2]",8,6
Pass,"[48.2, 32.4]",5,5
Pass,"[44.1, 46.7]",6,5
Pass,"[68.6, 54.0]",9,9
Pass,"[73.3, 40.2]",7,8
Pass,"[57.0, 44.8]",4,5
Pass,"[42.3, 72.5]",6,6
Pass,"[60.8, 65.6]",9,9
Pass,"[19.3, 54.0]",3,3
Pass,"[42.2, 76.1]",6,6
Pass,"[27.6, 52.7]",6,2
Pass,"[58.1, 39.7]",9,5
Pass,"[54.7, 24.1]",5,4
Pass,"[50.5, 31.6]",5,5
Pass,"[70.8, 45.8]",8,8
Pass,"[66.2, 47.2]",5,8
Pass,"[70.0, 58.5]",9,9
Pass,"[57.8, 60.2]",9,6
Pass,"[70.4, 76.6]",12,9
Pass,"[84.4, 64.2]",12,9
Pass,"[85.2, 53.7]",9,9
Pass,"[74.1, 58.2]",9,9
Pass,"[39.3, 52.2]",4,5
Pass,"[63.9, 44.3]",5,8
Pass,"[47.2, 37.3]",5,5
Pass,"[64.5, 54.6]",9,9
Pass,"[56.8, 65.6]",9,6
Pass,"[47.8, 49.3]",5,5
Pass,"[41.0, 48.5]",6,5
Pass,"[44.8, 49.7]",2,5
Pass,"[25.5, 15.6]",1,1
Pass,"[34.1, 33.5]",8,5
Pass,"[53.6, 50.7]",8,5
Pass,"[40.0, 42.1]",6,5
Pass,"[38.3, 26.4]",5,4
Pass,"[76.5, 58.0]",5,9
Pass,"[31.1, 39.9]",2,5
Pass,"[35.3, 42.3]",5,5
Pass,"[29.1, 12.8]",4,1
Pass,"[86.4, 20.2]",7,7
Pass,"[18.1, 30.4]",1,2
Pass,"[30.3, 46.5]",5,5
Pass,"[82.7, 66.2]",12,9
Pass,"[64.3, 26.6]",4,7
Pass,"[58.0, 53.7]",8,6
Pass,"[54.2, 50.7]",6,5
Pass,"[67.1, 1.9]",10,7
Pass,"[34.3, 67.5]",3,6
Pass,"[61.7, 63.9]",5,9
Pass,"[65.3, 57.9]",8,9
Pass,"[82.4, 77.8]",9,9
Pass,"[66.9, 64.9]",6,9
Pass,"[87.0, 49.9]",9,8
Pass,"[103.2, 43.4]",11,11
Pass,"[60.9, 49.7]",6,8
