type,location,progression_zone,reception_zone
Carry,"[47.1, 37.5]",5,5
Carry,"[100.7, 17.3]",10,10
Carry,"[105.3, 23.9]",10,10
Carry,"[26.8, 69.8]",6,3
Carry,"[22.6, 52.8]",3,2
Pass,"[46.4, 24.8]",5,4
Pass,"[77.2, 5.9]",7,7
Pass,"[75.2, 9.3]",7,7
Pass,"[76.6, 9.0]",8,7
Pass,"[83.2, 9.3]",7,7
Pass,"[58.1, 7.2]",4,4
Pass,"[56.3, 21.0]",5,4
Pass,"[71.0, 9.1]",7,7
Pass,"[65.1, 7.2]",7,7
Pass,"[93.7, 24.4]",11,10
Pass,"[51.5, 29.2]",5,5
Pass,"[64.9, 10.1]",7,7
Pass,"[50.6, 32.0]",5,5
Pass,"[57.3, 8.3]",6,4
Pass,"[89.2, 11.0]",7,7
Pass,"[61.7, 40.1]",8,8
Pass,"[80.0, 30.0]",8,8
Pass,"[79.7, 12.4]",8,7
Pass,"[41.5, 52.8]",6,5
Pass,"[74.8, 19.8]",10,7
Pass,"[89.9, 6.7]",7,7
Pass,"[105.4, 4.9]",10,10
Pass,"[89.6, 2.7]",10,7
Pass,"[18.8, 7.3]",1,1
Pass,"[58.5, 18.4]",11,4
Pass,"[36.9, 58.2]",5,6
Pass,"[105.8, 18.4]",10,10
Pass,"[36.4, 49.2]",5,5
Pass,"[35.2, 36.5]",5,5
Pass,"[101.0, 11.2]",10,10
Pass,"[82.0, 12.9]",7,7
Pass,"[101.9, 30.7]",11,11
Pass,"[52.3, 51.9]",5,5
Pass,"[46.3, 64.4]",6,6
Pass,"[50.7, 31.6]",4,5
Pass,"[57.6, 23.9]",7,4
Pass,"[62.9, 11.4]",7,7
Pass,"[51.9, 55.2]",6,6
Pass,"[56.7, 45.8]",8,5
Pass,"[11.7, 78.6]",3,3
Pass,"[67.0, 23.5]",7,7
Pass,"[81.0, 36.2]",7,8
Pass,"[27.1, 25.4]",2,1
Pass,"[41.7, 63.2]",6,6
Pass,"[44.2, 28.0]",5,5
Pass,"[51.1, 60.5]",5,6
Pass,"[67.0, 23.2]",8,7
Carry,"[67.5, 8.3]",7,7
Carry,"[51.1, 24.8]",4,4
Carry,"[50.2, 20.6]",7,4
Carry,"[72.0, 20.6]",7,7
Carry,"[75.3, 8.3]",7,7
Carry,"[76.2, 17.0]",7,7
Carry,"[63.3, 6.2]",4,7
Carry,"[64.5, 18.4]",4,7
Carry,"[60.9, 14.8]",7,7
Carry,"[64.9, 9.0]",7,7
Carry,"[89.9, 16.0]",10,7
Carry,"[60.3, 11.9]",7,7
Carry,"[51.2, 34.3]",5,5
Carry,"[65.8, 8.6]",4,7
Carry,"[71.0, 19.2]",7,7
Carry,"[50.8, 35.9]",8,5
Carry,"[76.3, 31.4]",8,8
Carry,"[41.5, 53.2]",5,5
Carry,"[74.8, 17.8]",7,7
Carry,"[93.3, 28.9]",11,11
Carry,"[87.8, 5.5]",7,7
Carry,"[89.6, 2.5]",7,7
Carry,"[54.0, 16.4]",4,4
Carry,"[36.9, 57.2]",6,6
Carry,"[51.1, 3.7]",4,4
Carry,"[89.9, 10.8]",10,7
Carry,"[28.7, 33.6]",8,2
Carry,"[36.4, 49.2]",5,5
Carry,"[34.5, 36.0]",5,5
Carry,"[101.0, 11.2]",10,10
Carry,"[81.5, 21.8]",7,7
Carry,"[50.7, 31.6]",5,5
Carry,"[51.9, 55.2]",6,6
Carry,"[56.4, 46.6]",5,5
Carry,"[15.3, 74.7]",3,3
Carry,"[27.1, 25.4]",1,1
Carry,"[51.1, 60.5]",6,6
Pass,"[28.5, 37.8]",6,2
Pass,"[45.4, 31.8]",5,5
Pass,"[38.8, 57.9]",5,6
Pass,"[75.1, 8.9]",7,7
Pass,"[41.5, 40.2]",5,5
Pass,"[44.1, 35.5]",6,5
Pass,"[84.3, 48.9]",8,8
Pass,"[70.0, 52.4]",12,8
Pass,"[86.9, 53.4]",9,9
Pass,"[82.2, 53.6]",8,9
Pass,"[38.3, 57.9]",5,6
Pass,"[44.3, 57.5]",9,6
Pass,"[73.4, 56.2]",10,9
Pass,"[50.9, 22.8]",6,4
Pass,"[57.2, 28.2]",7,5
Pass,"[74.3, 51.1]",12,8
Pass,"[28.3, 39.3]",6,2
Pass,"[63.8, 20.1]",7,7
Pass,"[69.1, 65.2]",9,9
Pass,"[26.8, 14.1]",5,1
Pass,"[86.5, 18.6]",8,7
Pass,"[59.1, 5.9]",5,4
Pass,"[44.1, 18.8]",4,4
Pass,"[27.8, 52.4]",6,2
Pass,"[63.8, 21.3]",7,7
Pass,"[57.2, 8.3]",4,4
Pass,"[76.4, 56.9]",9,9
Pass,"[56.1, 24.6]",5,4
Pass,"[115.5, 4.7]",10,10
Pass,"[70.2, 10.9]",7,7
Pass,"[74.4, 35.8]",12,8
Pass,"[76.6, 17.9]",10,7
Pass,"[74.5, 7.0]",10,7
Pass,"[13.7, 23.7]",2,1
Pass,"[21.2, 13.9]",4,1
Pass,"[56.9, 0.1]",5,4
Pass,"[68.7, 16.6]",12,7
Pass,"[53.3, 26.3]",6,4
Carry,"[18.2, 38.7]",2,2
Carry,"[39.8, 56.6]",6,6
Carry,"[70.2, 12.8]",7,7
Carry,"[41.3, 40.2]",5,5
Carry,"[43.9, 33.1]",5,5
Carry,"[85.4, 50.2]",8,8
Carry,"[75.1, 53.2]",8,8
Carry,"[86.9, 53.4]",9,9
Carry,"[85.4, 54.7]",9,9
Carry,"[35.5, 57.9]",6,6
Carry,"[40.9, 56.4]",6,6
Carry,"[71.1, 56.4]",9,9
Carry,"[55.9, 30.5]",5,5
Carry,"[23.4, 29.5]",2,2
Carry,"[63.1, 19.0]",7,7
Carry,"[86.5, 18.3]",7,7
Carry,"[62.1, 5.9]",4,7
Carry,"[22.1, 52.4]",2,2
Carry,"[51.6, 26.9]",7,5
Carry,"[60.1, 8.1]",4,7
Carry,"[100.1, 12.4]",10,10
Carry,"[63.8, 22.4]",7,7
Carry,"[67.0, 16.2]",8,7
Carry,"[72.8, 32.0]",8,8
Carry,"[77.9, 20.9]",7,7
Carry,"[74.3, 5.5]",7,7
Carry,"[13.7, 23.7]",1,1
Carry,"[74.7, 5.9]",7,7
Carry,"[53.7, 24.1]",4,4
